GEOID10,total_pop,median_age,pct_hispanic,pct_white,pct_black,pct_asian,pct_male,pct_single_family_home,med_home_value,med_rooms_per_home,pct_built_before_1940,pct_renting,rental_vacancy_rate,avg_renter_household_size,med_gross_rent,med_household_income,mean_commute_time,pct_commute_drive_alone,pct_below_poverty,pct_college_grad_student,pct_same_residence_year_ago,pct_bachelors_degree,pct_english_only,pct_foreign_born
06037434004,2844.0,33.1,90.6,1.9,0.0,213.0,44.8,89.0,384800.0,5.0,9.6,53.4,2.8,3.98,1386 (USD),$50819,27.3,84.1,15.0,28.1,90.8,6.5,20.8,36.6
06037434003,4519.0,34.5,80.1,3.8,0.1,722.0,49.0,71.9,429300.0,4.4,10.5,61.3,3.3,4.38,1159 (USD),$40394,33.0,73.0,21.9,17.2,96.0,12.4,16.4,50.6
06037433504,4827.0,34.4,70.5,2.3,0.1,1190.0,56.8,62.8,355700.0,4.1,9.9,75.3,0.0,4.5,1251 (USD),$34583,25.6,65.8,25.2,20.9,96.3,5.2,7.8,57.5
06037433307,3118.0,37.6,66.5,1.8,1.2,887.0,52.6,39.3,372000.0,4.6,1.6,61.4,5.5,3.93,1345 (USD),$51818,36.4,68.4,23.4,31.9,93.6,19.4,14.1,52.7
06037402904,3678.0,32.6,85.9,6.4,0.1,225.0,52.0,90.2,335400.0,5.3,5.8,26.5,0.0,5.16,1543 (USD),$70313,29.4,72.0,9.8,36.5,94.3,9.9,24.1,34.9
06037402903,4542.0,30.9,80.2,4.6,2.4,430.0,50.6,73.4,351400.0,5.2,6.0,43.2,0.0,4.62,1283 (USD),$52232,31.4,82.5,19.0,18.6,87.5,10.8,25.0,38.0
06037402804,4152.0,29.0,81.5,3.9,2.2,467.0,50.2,48.1,289100.0,4.4,6.3,76.2,0.6,4.33,1156 (USD),$45491,35.1,75.1,19.5,21.0,84.6,7.4,16.6,44.6
06037402803,3054.0,29.3,90.0,2.2,2.1,168.0,50.0,64.2,282000.0,4.3,18.4,66.4,4.2,4.22,1179 (USD),$44196,29.3,71.3,19.1,26.1,83.1,8.4,14.8,44.8
06037402706,4213.0,31.5,71.4,5.9,11.0,486.0,58.1,86.6,319300.0,5.8,1.4,40.8,0.0,4.58,1567 (USD),$66081,31.3,75.3,16.1,24.6,86.9,14.6,33.8,35.5
06037408504,4988.0,36.1,54.8,12.4,0.2,1622.0,49.9,63.6,458700.0,5.4,0.0,38.1,11.6,3.17,1556 (USD),$80761,33.5,84.5,10.0,41.0,91.8,32.4,40.8,34.6
06037406701,3139.0,35.1,61.9,9.3,3.3,731.0,48.9,70.6,444400.0,5.3,0.0,39.5,0.0,3.07,1410 (USD),$70213,32.1,78.7,4.3,34.9,92.4,28.2,44.4,32.2
06037408141,5209.0,34.3,81.3,1.1,1.2,832.0,53.2,80.8,362300.0,5.5,3.1,23.9,6.7,5.56,1393 (USD),$70486,30.9,78.1,8.5,33.8,93.2,7.7,10.7,49.5
06037570404,3487.0,28.3,68.7,2.1,19.4,148.0,47.7,72.6,350600.0,4.6,17.5,48.4,0.0,4.26,1227 (USD),$51958,27.5,80.4,15.9,30.2,92.6,12.5,28.4,33.6
06037480704,4764.0,39.5,22.4,28.3,1.1,1808.0,46.7,30.9,812100.0,4.6,38.1,68.3,5.8,2.4,1544 (USD),$75869,29.4,75.8,13.7,20.2,86.0,58.6,52.5,34.7
06037480803,3782.0,40.3,57.4,13.0,0.0,1033.0,52.9,73.4,561800.0,4.5,52.0,43.5,0.0,2.95,1255 (USD),$71888,30.9,77.3,12.4,34.5,93.8,33.8,44.7,37.3
06037481201,3794.0,42.3,23.4,7.5,0.9,2539.0,46.1,64.7,627800.0,4.6,3.0,54.1,0.0,3.13,1478 (USD),$58199,33.1,79.8,10.6,29.7,88.7,37.3,21.8,56.1
06037482521,5745.0,44.4,39.8,5.3,0.6,3040.0,48.4,82.7,450800.0,4.9,7.6,32.0,0.0,4.05,1447 (USD),$56047,30.3,76.0,12.0,37.1,92.1,19.8,23.5,52.0
06037502301,5877.0,39.5,93.1,2.7,0.6,115.0,53.1,87.7,375700.0,5.5,8.7,25.0,0.0,4.39,1848 (USD),$67049,27.7,81.3,8.5,34.4,91.7,15.3,24.6,32.6
06037551201,3574.0,40.5,76.4,12.3,3.7,267.0,47.3,61.7,445800.0,4.7,1.4,51.7,0.0,2.69,1225 (USD),$52880,30.8,80.9,6.2,37.7,92.4,21.4,32.3,38.1
06037551600,31.0,59.5,0.0,80.6,19.4,0.0,100.0,,,,,,,,,,,,,,38.7,22.6,100.0,19.4
06037543701,3022.0,37.2,57.1,6.6,0.0,948.0,49.7,98.5,379800.0,5.7,4.0,20.6,0.0,4.87,1875 (USD),$74550,27.6,66.8,9.8,29.8,94.9,21.0,26.3,44.3
