GEOID10,total_pop,median_age,pct_hispanic,pct_white,pct_black,pct_asian,pct_male,pct_single_family_home,med_home_value,med_rooms_per_home,pct_built_before_1940,pct_renting,rental_vacancy_rate,avg_renter_household_size,med_gross_rent,med_household_income,mean_commute_time,pct_commute_drive_alone,pct_below_poverty,pct_college_grad_student,pct_same_residence_year_ago,pct_bachelors_degree,pct_english_only,pct_foreign_born
06059075607,6421.0,41.0,16.1,49.8,1.2,1780.0,47.8,25.0,584100.0,4.4,0.4,45.9,8.5,2.36,2115.0,96406.0,27.8,88.4,13.8,25.3,82.5,64.4,66.1,28.4
06059075701,7366.0,32.5,47.1,39.1,1.2,719.0,48.7,54.5,660700.0,5.7,0.0,43.4,3.1,3.88,1674.0,82591.0,24.0,79.5,6.0,22.8,88.1,28.9,53.8,27.4
06059075811,3279.0,34.4,53.7,35.2,0.2,314.0,52.0,66.7,698500.0,6.3,0.0,43.0,0.0,5.07,1438.0,73357.0,27.5,75.6,18.1,23.6,95.1,30.1,44.2,36.1
06059075901,4123.0,30.2,41.9,51.9,1.4,115.0,43.0,42.7,548900.0,4.5,37.0,66.4,7.7,2.81,1527.0,56929.0,23.0,78.1,24.1,57.8,79.9,32.7,64.0,15.7
06059076202,5974.0,33.7,38.3,52.7,1.0,426.0,51.0,50.4,536400.0,5.1,2.8,41.6,3.7,3.24,1684.0,82805.0,25.7,84.3,7.4,31.8,90.2,31.3,70.2,18.3
06059086404,6815.0,33.3,77.5,9.6,0.2,740.0,52.9,61.7,463600.0,5.1,0.9,50.7,0.0,4.54,1437.0,71937.0,24.7,73.6,13.0,35.3,86.4,12.0,16.4,44.5
06059086405,7568.0,29.0,81.8,9.7,1.7,495.0,52.1,45.2,443400.0,4.6,0.5,64.1,1.8,4.71,1378.0,48973.0,25.5,70.5,26.2,18.3,89.1,10.1,19.7,44.3
06059086601,10194.0,26.8,82.5,6.8,3.4,562.0,46.8,24.4,405100.0,4.3,0.4,71.0,0.0,4.11,1328.0,47580.0,25.2,75.4,26.0,21.5,94.1,13.8,21.4,37.8
06059087704,4951.0,31.0,36.4,27.3,0.1,1462.0,46.9,75.2,495700.0,5.7,0.9,29.6,5.9,4.21,1872.0,81891.0,29.6,75.1,6.2,53.1,89.9,29.4,40.5,33.5
06059087806,5876.0,34.5,56.6,18.7,2.0,1027.0,50.5,32.8,397300.0,4.0,1.8,67.1,0.0,3.26,1328.0,38477.0,37.7,81.3,17.2,28.0,88.2,17.3,17.5,50.5
06059032057,8752.0,36.2,14.9,65.7,0.3,880.0,46.9,60.4,853000.0,6.7,0.0,32.9,0.0,2.43,1847.0,159504.0,27.4,78.2,2.3,14.2,88.3,65.8,81.0,12.0
06059062649,3285.0,66.4,12.8,69.8,1.8,474.0,42.0,13.8,419600.0,4.4,1.3,40.5,2.6,1.8,1875.0,50236.0,29.3,79.6,13.5,62.5,84.0,53.0,74.0,28.5
06059087505,4895.0,33.3,63.8,15.9,1.1,711.0,49.2,23.3,421500.0,4.8,0.0,63.0,2.9,3.65,1265.0,46850.0,27.6,65.5,24.3,18.7,88.3,19.6,25.3,44.3
06059062648,2677.0,76.1,3.5,81.0,0.0,387.0,34.2,7.3,370900.0,4.3,0.0,33.4,11.5,1.37,1830.0,43656.0,15.8,71.8,12.1,100.0,83.0,48.9,79.8,27.0
06059990100,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,
06059062647,4447.0,59.5,18.2,53.8,2.4,1137.0,41.2,11.7,258300.0,4.1,0.0,47.1,15.7,2.52,1879.0,40694.0,21.0,75.7,14.0,50.4,71.3,39.0,59.8,40.9
06059062702,4767.0,54.3,11.6,83.5,0.0,105.0,48.7,58.9,2000001.0,5.0,2.6,36.4,12.0,1.91,2320.0,134648.0,24.2,88.1,4.2,33.5,85.6,65.1,92.1,9.3
06059063004,6378.0,48.5,7.4,82.3,2.9,405.0,49.3,7.9,999300.0,4.2,0.0,67.5,9.4,1.88,1966.0,82245.0,23.7,72.9,4.8,28.3,85.0,64.8,81.3,16.2
06059063010,7086.0,39.1,6.1,85.3,0.9,343.0,50.5,51.5,1484300.0,4.7,0.5,52.1,5.7,1.56,1771.0,102681.0,23.6,92.0,4.6,30.0,82.1,71.5,90.8,8.2
06059063400,4921.0,46.7,5.9,82.0,0.3,375.0,47.7,66.0,1710000.0,5.8,4.1,31.6,0.0,2.33,2032.0,130664.0,25.6,83.1,4.9,20.1,87.2,66.5,84.6,10.4
06059063802,2984.0,41.9,28.3,63.5,0.6,87.0,46.6,84.9,732600.0,6.1,2.4,24.3,0.0,3.56,1748.0,78350.0,22.5,79.1,6.4,26.1,95.4,39.5,71.9,12.8
06059063806,3764.0,41.5,24.0,66.2,2.0,191.0,53.1,67.6,835900.0,5.9,0.6,36.2,3.3,2.96,1861.0,104516.0,22.0,79.6,4.6,22.2,91.8,48.5,77.1,17.2
06059063906,6259.0,33.3,48.8,38.5,1.1,498.0,52.0,3.0,376100.0,3.8,0.0,69.6,0.0,2.48,1528.0,62177.0,20.6,78.3,7.4,45.9,83.7,34.8,49.7,34.5
06059074005,7955.0,32.9,74.3,10.2,1.1,997.0,55.0,56.8,485400.0,4.9,1.0,55.4,2.1,4.99,1449.0,74524.0,21.4,77.0,13.4,32.9,93.6,14.3,23.9,44.3
06059074107,6811.0,33.4,38.4,38.0,0.2,1358.0,50.7,9.6,269800.0,3.8,0.0,68.4,3.8,2.56,1803.0,65326.0,25.7,88.8,6.1,42.8,79.6,46.9,45.8,39.5
06059074109,3536.0,30.2,85.0,1.9,0.2,436.0,52.5,69.2,429900.0,5.2,2.5,43.4,0.0,5.84,1488.0,63558.0,23.6,76.8,15.6,29.2,98.1,9.8,7.5,52.2
06059074403,6023.0,25.8,93.9,3.6,0.0,153.0,48.7,3.8,82300.0,3.7,1.8,89.2,1.4,4.63,1195.0,38005.0,26.6,74.2,28.8,16.7,94.5,3.2,8.1,50.8
06059074501,7481.0,25.7,91.2,1.0,0.9,492.0,52.3,26.9,425800.0,3.6,2.8,78.5,0.0,5.28,1033.0,36333.0,23.3,65.7,39.8,16.3,94.9,4.6,8.6,50.0
06059074801,6568.0,30.3,93.1,1.2,1.8,218.0,51.2,75.0,403400.0,5.2,14.8,50.3,0.0,7.13,1469.0,64405.0,25.8,65.7,13.9,22.0,93.9,5.0,9.3,52.7
06059075507,5556.0,32.3,45.0,31.1,3.8,874.0,49.4,20.7,558000.0,4.0,2.8,75.5,1.3,2.82,1687.0,63420.0,22.8,83.7,13.2,42.1,72.0,35.9,42.4,31.5
06059075515,18827.0,33.5,36.0,27.4,1.1,5922.0,51.1,16.5,573300.0,4.0,1.0,70.0,3.3,2.72,1745.0,79402.0,25.7,78.1,19.4,29.4,75.6,46.3,41.0,39.6
06059032044,5700.0,49.9,8.9,75.4,1.2,566.0,48.9,79.2,940800.0,7.9,0.0,11.6,0.0,2.74,3195.0,156731.0,31.6,81.6,4.8,31.3,89.9,63.3,84.5,16.6
06059032045,3237.0,35.7,12.4,78.3,0.3,220.0,51.8,79.5,679700.0,6.6,0.0,11.2,0.0,2.67,2208.0,153625.0,27.5,84.7,2.9,26.8,92.1,49.8,86.8,7.8
06059032046,5862.0,46.1,6.2,81.8,0.3,543.0,49.8,96.2,1176100.0,10.0,0.4,11.5,0.0,3.16,3204.0,209095.0,35.1,75.4,4.2,16.2,86.4,68.6,87.2,11.9
06059032048,5238.0,49.5,14.1,68.0,4.8,512.0,48.4,78.3,606000.0,6.0,0.0,9.9,0.0,2.15,2661.0,111061.0,29.3,79.3,5.0,32.9,86.5,55.3,80.2,19.1
06059032053,8212.0,39.1,11.0,68.4,3.7,1137.0,49.9,36.1,576300.0,5.3,0.6,29.9,6.0,2.26,2005.0,106645.0,35.1,89.3,6.5,23.0,91.6,52.1,78.5,18.7
06059042108,4880.0,42.4,26.3,69.9,0.0,68.0,52.2,16.7,707900.0,4.1,3.1,82.9,0.7,1.92,1604.0,68919.0,24.1,65.8,12.1,44.3,82.6,46.7,82.2,12.3
06059042305,3350.0,51.0,8.7,83.1,0.0,109.0,48.9,80.1,1798100.0,6.2,13.2,22.3,8.3,2.46,3033.0,156875.0,33.8,72.3,6.8,27.2,88.2,70.9,90.4,8.8
06059042332,5232.0,50.4,11.0,72.9,0.5,471.0,49.3,58.8,845400.0,6.4,1.3,18.5,7.1,1.93,2458.0,115119.0,30.5,80.0,6.5,29.5,86.3,63.5,78.5,17.9
06059052411,5412.0,37.9,40.5,38.3,2.1,756.0,48.5,86.7,597100.0,6.2,1.3,25.9,7.3,4.72,2000.0,79239.0,22.9,74.2,13.1,36.2,92.8,27.7,53.3,31.1
06059052422,4865.0,39.6,15.7,51.7,0.9,1330.0,47.6,59.5,632700.0,5.9,0.5,17.8,0.0,2.66,1832.0,122614.0,27.7,82.7,3.7,28.7,85.5,56.8,71.3,21.9
06059052424,5103.0,34.9,20.2,55.3,0.4,859.0,50.9,29.0,470900.0,4.7,0.6,41.3,5.6,2.48,1783.0,76544.0,27.6,86.1,6.1,29.4,85.9,44.6,74.4,21.8
