GEOID10,total_pop,median_age,pct_hispanic,pct_white,pct_black,pct_asian,pct_male,pct_single_family_home,med_home_value,med_rooms_per_home,pct_built_before_1940,pct_renting,rental_vacancy_rate,avg_renter_household_size,med_gross_rent,med_household_income,mean_commute_time,pct_commute_drive_alone,pct_below_poverty,pct_college_grad_student,pct_same_residence_year_ago,pct_bachelors_degree,pct_english_only,pct_foreign_born,state,county,county_name
06025012200,8153.0,36.1,97.5,1.9,0.0,52.0,47.5,75.2,156000.0,5.3,0.5,43.6,0.0,3.75,771.0,34421.0,25.1,74.4,31.9,25.9,90.1,7.4,3.5,48.3,06,025,Imperial
06027000800,2796.0,45.8,28.1,62.0,1.6,9.0,53.9,62.6,170500.0,4.4,13.9,42.9,6.5,2.17,611.0,36339.0,15.4,54.3,17.5,12.1,86.6,19.1,81.6,13.3,06,027,Inyo
06027000100,2853.0,52.1,27.0,69.8,0.0,22.0,51.8,43.1,55400.0,5.5,0.0,11.5,0.0,2.53,775.0,53013.0,18.7,74.8,5.7,8.8,91.3,22.1,84.3,8.0,06,027,Inyo
06027000400,5680.0,41.5,24.2,51.8,0.6,139.0,44.9,48.2,206700.0,4.4,10.3,58.3,5.6,1.74,916.0,40625.0,12.9,73.5,14.4,20.8,87.7,25.0,80.2,12.7,06,027,Inyo
06027000500,2389.0,47.8,15.8,57.3,0.4,48.0,51.4,75.4,181500.0,5.0,12.3,31.9,1.7,2.04,845.0,51739.0,20.0,65.9,11.0,19.2,88.5,20.2,93.0,4.6,06,027,Inyo
06027000300,2740.0,49.3,10.3,84.2,0.8,10.0,51.9,89.7,407900.0,6.2,1.7,6.3,0.0,2.51,1430.0,91313.0,18.6,72.8,2.0,15.1,87.0,35.8,90.7,5.5,06,027,Inyo
06027000200,1737.0,48.0,17.4,69.7,3.6,42.0,56.6,82.5,361100.0,5.1,2.9,33.2,8.2,2.0,1103.0,78981.0,23.2,70.4,3.5,29.3,85.4,31.5,87.3,7.3,06,027,Inyo
06029005801,6307.0,34.5,27.8,51.1,12.0,200.0,50.1,90.1,186500.0,6.0,0.3,30.6,0.0,3.05,1381.0,75278.0,29.9,82.9,8.9,36.5,83.6,20.6,80.2,9.7,06,029,Kern
06029005802,9197.0,27.6,46.7,34.4,11.7,169.0,53.6,53.0,124600.0,5.1,1.4,59.1,7.2,3.15,808.0,41406.0,28.3,82.2,29.1,21.7,82.7,10.0,60.4,17.1,06,029,Kern
06029005508,4705.0,31.0,26.8,45.6,21.6,47.0,52.2,78.3,94100.0,5.6,0.0,45.3,6.2,3.62,953.0,40449.0,32.6,63.8,31.1,17.7,68.0,9.9,81.1,11.2,06,029,Kern
06029005203,4499.0,54.6,2.2,90.5,1.2,0.0,53.0,46.5,124000.0,5.0,3.3,25.6,7.3,3.26,1297.0,36329.0,27.9,81.2,24.2,22.8,89.5,18.7,97.1,1.6,06,029,Kern
06029005204,6483.0,48.6,16.2,80.1,0.2,6.0,45.9,48.6,90000.0,4.6,1.7,40.8,0.0,2.64,761.0,30808.0,37.5,88.3,27.7,34.0,88.5,11.1,91.2,4.0,06,029,Kern
06029004701,10443.0,25.2,94.9,3.0,1.2,10.0,56.0,80.2,159300.0,5.1,2.6,40.4,0.0,4.61,933.0,35502.0,20.3,84.1,38.4,13.9,91.8,3.7,15.3,34.2,06,029,Kern
